code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000631,顺发恒业,区域地产,吉林,16.13,24.33,24.33,1478879.88,1295434.13,1011.8,139033.52,0.57,0.124,2.32,1.73,19961122,151694.13,0.62,48.03,28.48,18.14,9.52,38031.0
300248,新开普,软件服务,河南,118.93,2.03,3.25,168205.06,92718.8,14933.8,68902.75,2.12,0.068,3.71,4.37,20110729,27697.3,0.85,20.42,138.61,55.41,8.15,23497.0
603031,安德利,百货,安徽,69.26,0.4,0.8,143068.02,49566.78,59060.25,24486.02,3.06,0.23399999999999999,7.37,4.4,20160822,25889.77,3.24,8.87,-13.88,20.38,2.24,11960.0
300099,精准信息,电器仪表,山东,424.4,3.56,6.6,173355.34,81272.15,20926.0,74912.71,1.13,0.01,2.42,3.37,20100806,14785.07,0.22,68.58,153.68,53.64,6.97,33395.0
600285,羚锐制药,中成药,河南,27.27,5.35,5.92,321236.0,156336.55,53443.46,56529.48,0.95,0.226,3.59,3.44,20001018,62951.71,1.06,25.48,36.14,70.4,16.09,43442.0
002116,中国海诚,建筑施工,上海,31.97,4.16,4.18,398176.5,360756.72,24860.68,10216.75,0.24,0.29,2.91,4.26,20070215,56198.91,1.35,-17.03,50.68,10.42,4.44,24929.0
603315,福鞍股份,机械基件,辽宁,164.76,0.78,2.0,106819.38,59795.55,32721.72,28825.69,1.44,0.05,3.25,5.08,20150424,13724.35,0.69,-40.12,-63.47,26.01,8.33,21748.0
002204,大连重工,专用机械,辽宁,284.95,19.31,19.31,1665600.13,1273918.13,296229.13,241172.72,1.25,0.006999999999999999,3.41,1.22,20080116,199159.13,1.03,-26.64,-65.85,18.43,0.61,56626.0
000407,胜利股份,供气供热,山东,85.82,6.66,8.8,434818.31,149425.69,82998.43,101588.45,1.15,0.048,2.45,3.39,19960703,13068.12,0.15,38.36,130.44,14.91,2.58,43372.0
000893,东凌国际,食品,广东,0.0,4.01,7.57,527878.31,99363.45,64650.51,377074.88,4.98,-0.027000000000000003,5.66,1.47,19981224,-28253.1,-0.37,-40.75,-255.01,4.39,-2.97,22534.0
002494,华斯股份,服饰,河北,221.71,2.59,3.86,262165.97,129331.72,41608.5,124963.86,3.24,0.042,5.2,2.4,20101102,32382.05,0.84,35.2,88.7,24.58,3.53,60016.0
002250,联化科技,化工原料,浙江,34.32,6.78,9.26,860494.13,383677.78,319904.47,211071.47,2.28,0.2,5.98,2.09,20080619,246024.8,2.66,9.32,-31.54,32.36,8.7,21620.0
002306,*ST云网,酒店餐饮,北京,0.0,7.99,8.0,9841.67,7480.27,537.78,28892.1,0.36,-0.011000000000000001,-0.01,-315.37,20091111,-113415.42,-1.42,-5.3,41.21,44.65,-17.43,67248.0
000524,岭南控股,酒店餐饮,广东,52.12,2.7,6.7,444941.09,253923.3,58981.16,121565.47,1.81,0.12,3.67,3.41,19931118,35822.44,0.53,9.32,12.55,17.7,2.86,31301.0
600789,鲁抗医药,化学制药,山东,75.96,5.82,5.82,478002.56,217802.13,146063.05,109587.92,1.88,0.055,3.23,2.59,19970226,4761.12,0.08,2.91,148.99,25.05,2.51,108310.0
